ā,錒
á,嗄
ǎ,啊
à,啊
āi,鎄
ái,騃
ǎi,靄
ài,靉
ān,韽
án,儑
ǎn,銨
àn,黯
āng,骯
áng,昻
àng,醠
āo,爊
áo,鼇
ǎo,襖
ào,驁
bā,鲃
bá,鼥
bǎ,靶
bà,欛
bāi,掰
bái,犤
bǎi,襬
bài,韛
bān,辬
bǎn,闆
bàn,瓣
bāng,鞤
bǎng,膀
bàng,鎊
bāo,齙
báo,薄
bǎo,靌
bào,鑤
bēi,鵯
běi,鉳
bèi,鐾
bēn,錛
běn,楍
bèn,撪
bēng,繃
béng,甮
běng,鞛
bèng,鏰
bī,鰏
bí,鼻
bǐ,貏
bì,鼊
biān,籩
biǎn,藊
biàn,變
biāo,驫
biáo,嫑
biǎo,檦
biào,鳔
biē,龞
bié,蹩
biě,瘪
biè,彆
bīn,顮
bìn,鬢
bīng,槟
bǐng,鞞
bìng,靐
bō,鱍
bó,鑮
bǒ,簸
bò,蘗
bū,錻
bú,醭
bǔ,鸔
bù,簿
cā,嚓
cǎ,礸
cà,遪
cāi,猜
cái,纔
cǎi,踩
cài,縩
cān,驂
cán,蠶
cǎn,黲
càn,謲
cāng,鶬
cáng,鑶
càng,賶
cāo,糙
cáo,鏪
cǎo,騲
cào,鼜
cè,簎
cēn,嵾
cén,梣
cēng,噌
céng,驓
cèng,蹭
chā,餷
chá,檫
chǎ,鑔
chà,詫
chāi,釵
chái,儕
chǎi,茝
chài,囆
chān,攙
chán,饞
chǎn,讇
chàn,顫
chāng,鼚
cháng,鱨
chǎng,鋹
chàng,韔
chāo,窼
cháo,謿
chǎo,巐
chào,觘
chē,蛼
chě,撦
chè,爡
chēn,謓
chén,鷐
chěn,贂
chèn,讖
chēng,饓
chéng,騬
chěng,騁
chèng,牚
chī,黐
chí,謘
chǐ,褫
chì,鷘
chōng,蹖
chóng,爞
chǒng,寵
chòng,衝
chōu,犫
chóu,雦
chǒu,魗
chòu,殠
chū,齣
chú,躕
chǔ,齼
chù,矗
chuā,欻
chuāi,搋
chuái,膗
chuǎi,揣
chuài,踹
chuān,瑏
chuán,輲
chuǎn,踳
chuàn,鶨
chuāng,窻
chuáng,噇
chuǎng,闖
chuàng,愴
chuī,龡
chuí,顀
chūn,鰆
chún,鯙
chǔn,蠢
chuō,繛
chuò,鑡
cī,齹
cí,鶿
cǐ,鮆
cì,螆
cōng,驄
cóng,爜
còng,謥
còu,輳
cū,麤
cú,殂
cù,顣
cuān,鑹
cuán,穳
cuàn,爨
cuī,鏙
cuǐ,皠
cuì,臎
cūn,膥
cún,蹲
cǔn,忖
cùn,寸
cuō,鎈
cuó,鹺
cuǒ,脞
cuò,錯
dā,鎉
dá,龘
dǎ,打
dà,眔
dāi,懛
